album,year,number,title,lyric,,
,,Speak Now,The Story of Us,"And the story of us looks a lot like a tragedy now, now, now",48,2010
,,Speak Now,The Story of Us,And we're not speaking,49,2010
,,Speak Now,The Story of Us,And I'm dying to know is it killing you like it's killing me?,50,2010
,,Speak Now,The Story of Us,Yeah,51,2010
,,Speak Now,The Story of Us,"And I don't know what to say since a twist of fate, because we're going down",52,2010
,,Speak Now,The Story of Us,And the story of us looks a lot like a tragedy now,53,2010
,,Speak Now,The Story of Us,The End,54,2010
,,Speak Now,Never Grow Up,Your little hand's wrapped around my finger,1,2010
,,Speak Now,Never Grow Up,And it's so quiet in the world tonight,2,2010
,,Speak Now,Never Grow Up,Your little eyelids flutter cause you're dreaming,3,2010
,,Speak Now,Never Grow Up,"So I tuck you in, turn on your favorite night light",4,2010
,,Speak Now,Never Grow Up,"To you everything's funny, you got nothing to regret",5,2010
,,Speak Now,Never Grow Up,"I'd give all I have, honey",6,2010
,,Speak Now,Never Grow Up,If you could stay like that,7,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",8,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, just stay this little",9,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",10,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, it could stay this simple",11,2010
,,Speak Now,Never Grow Up,"I won't let nobody hurt you, won't let no one break your heart",12,2010
,,Speak Now,Never Grow Up,And no one will desert you,13,2010
,,Speak Now,Never Grow Up,"Just try to never grow up, never grow up",14,2010
,,Speak Now,Never Grow Up,You're in the car on the way to the movies,15,2010
,,Speak Now,Never Grow Up,And you're mortified your mom's dropping you off,16,2010
,,Speak Now,Never Grow Up,At 14 there's just so much you can't do,17,2010
,,Speak Now,Never Grow Up,And you can't wait to move out someday and call your own shots,18,2010
,,Speak Now,Never Grow Up,But don't make her drop you off around the block,19,2010
,,Speak Now,Never Grow Up,Remember that she's getting older too,20,2010
,,Speak Now,Never Grow Up,And don't lose the way that you dance around in your pj's getting ready for school,21,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",22,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, just stay this little",23,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",24,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, it could stay this simple",25,2010
,,Speak Now,Never Grow Up,"No one's ever burned you, nothing's ever left you scarred",26,2010
,,Speak Now,Never Grow Up,"And even though you want to, just try to never grow up",27,2010
,,Speak Now,Never Grow Up,Take pictures in your mind of your childhood room,28,2010
,,Speak Now,Never Grow Up,Memorize what it sounded like when your dad gets home,29,2010
,,Speak Now,Never Grow Up,"Remember the footsteps, remember the words said",30,2010
,,Speak Now,Never Grow Up,And all your little brother's favorite songs,31,2010
,,Speak Now,Never Grow Up,I just realized everything I have is someday gonna be gone,32,2010
,,Speak Now,Never Grow Up,So here I am in my new apartment,33,2010
,,Speak Now,Never Grow Up,"In a big city, they just dropped me off",34,2010
,,Speak Now,Never Grow Up,It's so much colder that I thought it would be,35,2010
,,Speak Now,Never Grow Up,So I tuck myself in and turn my night light on,36,2010
,,Speak Now,Never Grow Up,Wish I'd never grown up,37,2010
,,Speak Now,Never Grow Up,I wish I'd never grown up,38,2010
,,Speak Now,Never Grow Up,"Oh I don't wanna grow up, wish I'd never grown up",39,2010
,,Speak Now,Never Grow Up,I could still be little,40,2010
,,Speak Now,Never Grow Up,"Oh I don't wanna grow up, wish I'd never grown up",41,2010
,,Speak Now,Never Grow Up,It could still be simple,42,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",43,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, just stay this little",44,2010
,,Speak Now,Never Grow Up,"Oh darling, don't you ever grow up",45,2010
,,Speak Now,Never Grow Up,"Don't you ever grow up, it could stay this simple",46,2010
,,Speak Now,Never Grow Up,Won't let nobody hurt you,47,2010
,,Speak Now,Never Grow Up,Won't let no one break your heart,48,2010
,,Speak Now,Never Grow Up,"And even though you want to, please try to never grow up",49,2010
,,Speak Now,Never Grow Up,"Oh, don't you ever grow up",50,2010
,,Speak Now,Never Grow Up,"Oh, never grow up, just never grow up",51,2010
,,Speak Now,Enchanted,There I was again tonight,1,2010
,,Speak Now,Enchanted,"Forcing laughter, faking smiles",2,2010
,,Speak Now,Enchanted,"Same old tired, lonely place",3,2010
,,Speak Now,Enchanted,"Walls of insincerity, shifting eyes and vacancy",4,2010
,,Speak Now,Enchanted,Vanished when I saw your face,5,2010
,,Speak Now,Enchanted,All I can say is,6,2010
,,Speak Now,Enchanted,It was enchanting to meet you,7,2010
,,Speak Now,Enchanted,"Your eyes whispered ""have we met?""",8,2010
,,Speak Now,Enchanted,Across the room your silhouette,9,2010
,,Speak Now,Enchanted,Starts to make its way to me,10,2010
,,Speak Now,Enchanted,The playful conversation starts,11,2010
,,Speak Now,Enchanted,Counter all your quick remarks,12,2010
,,Speak Now,Enchanted,Like passing notes in secrecy,13,2010
,,Speak Now,Enchanted,And it was,14,2010
,,Speak Now,Enchanted,Enchanting to meet you,15,2010
,,Speak Now,Enchanted,All I can say is,16,2010
,,Speak Now,Enchanted,I was enchanted to meet you,17,2010
,,Speak Now,Enchanted,This night is sparkling,18,2010
,,Speak Now,Enchanted,Don't you let it go,19,2010
,,Speak Now,Enchanted,I'm wonderstruck,20,2010
,,Speak Now,Enchanted,Blushing all the way home,21,2010
,,Speak Now,Enchanted,I'll spend forever,22,2010
,,Speak Now,Enchanted,Wondering if you knew,23,2010
,,Speak Now,Enchanted,I was enchanted to meet you,24,2010
,,Speak Now,Enchanted,The lingering question kept me up,25,2010
,,Speak Now,Enchanted,"2AM, who do you love?",26,2010
,,Speak Now,Enchanted,I wonder 'til I'm wide awake,27,2010
,,Speak Now,Enchanted,And now I'm pacing back and forth,28,2010
,,Speak Now,Enchanted,Wishing you were at my door,29,2010
,,Speak Now,Enchanted,"I'd open up and you would say ""hey""",30,2010
,,Speak Now,Enchanted,It was,31,2010
,,Speak Now,Enchanted,Enchanting to meet you,32,2010
,,Speak Now,Enchanted,All I know is I was,33,2010
,,Speak Now,Enchanted,Enchanted to meet you,34,2010
,,Speak Now,Enchanted,This night is sparkling,35,2010
,,Speak Now,Enchanted,Don't you let it go,36,2010
,,Speak Now,Enchanted,I'm wonderstruck,37,2010
,,Speak Now,Enchanted,Blushing all the way home,38,2010
,,Speak Now,Enchanted,I'll spend forever,39,2010
,,Speak Now,Enchanted,Wondering if you knew,40,2010
,,Speak Now,Enchanted,This night is flawless,41,2010
,,Speak Now,Enchanted,Don't you let it go,42,2010
,,Speak Now,Enchanted,I'm wonderstruck,43,2010
,,Speak Now,Enchanted,Dancing around all alone,44,2010
,,Speak Now,Enchanted,I'll spend forever,45,2010
,,Speak Now,Enchanted,Wondering if you knew,46,2010
,,Speak Now,Enchanted,I was enchanted to meet you,47,2010
,,Speak Now,Enchanted,This is me praying that,48,2010
,,Speak Now,Enchanted,This was the very first page,49,2010
,,Speak Now,Enchanted,Not where the storyline ends,50,2010
,,Speak Now,Enchanted,My thoughts will echo your name,51,2010
,,Speak Now,Enchanted,Until I see you again,52,2010
,,Speak Now,Enchanted,These are the words I held back,53,2010
,,Speak Now,Enchanted,As I was leaving too soon,54,2010
,,Speak Now,Enchanted,I was enchanted to meet you,55,2010
,,Speak Now,Enchanted,Please don't be in love,56,2010
,,Speak Now,Enchanted,With someone else,57,2010
,,Speak Now,Enchanted,Please don't have somebody,58,2010
,,Speak Now,Enchanted,Waiting on you,59,2010
,,Speak Now,Enchanted,Please don't be in love,60,2010
,,Speak Now,Enchanted,With someone else,61,2010
,,Speak Now,Enchanted,Please don't have somebody,62,2010
,,Speak Now,Enchanted,Waiting on you,63,2010
,,Speak Now,Enchanted,This night is sparkling,64,2010
,,Speak Now,Enchanted,Don't you let it go,65,2010
,,Speak Now,Enchanted,I'm wonderstruck,66,2010
,,Speak Now,Enchanted,Blushing all the way home,67,2010
,,Speak Now,Enchanted,I'll spend forever,68,2010
,,Speak Now,Enchanted,Wondering if you knew,69,2010
,,Speak Now,Enchanted,This night is flawless,70,2010
,,Speak Now,Enchanted,Don't you let it go,71,2010
,,Speak Now,Enchanted,I'm wonderstruck,72,2010
,,Speak Now,Enchanted,Dancing around all alone,73,2010
,,Speak Now,Enchanted,I'll spend forever,74,2010
,,Speak Now,Enchanted,Wondering if you knew,75,2010
,,Speak Now,Enchanted,I was enchanted to meet you,76,2010
,,Speak Now,Enchanted,Please don't be in love,77,2010
,,Speak Now,Enchanted,With someone else,78,2010
,,Speak Now,Enchanted,Please don't have somebody,79,2010
,,Speak Now,Enchanted,Waiting on you,80,2010
,,Speak Now,Better Than Revenge,Now go stand in the corner and think about what you did,1,2010
,,Speak Now,Better Than Revenge,"Ha, time for a little revenge",2,2010
,,Speak Now,Better Than Revenge,The story starts when it was hot and it was summer and,3,2010
,,Speak Now,Better Than Revenge,"I had it all, I had him right there, where I wanted him",4,2010
,,Speak Now,Better Than Revenge,"She came along, got him alone, and let's hear the applause",5,2010
,,Speak Now,Better Than Revenge,She took him faster than you can say sabotage,6,2010
,,Speak Now,Better Than Revenge,"I never saw it coming, wouldn't have suspected it",7,2010
,,Speak Now,Better Than Revenge,I underestimated just who I was dealing with,8,2010
,,Speak Now,Better Than Revenge,She had to know the pain was beating on me like a drum,9,2010
,,Speak Now,Better Than Revenge,She underestimated just who she was stealing from,10,2010
,,Speak Now,Better Than Revenge,She's not a saint and she's not what you think,11,2010
,,Speak Now,Better Than Revenge,"She's an actress, whoa",12,2010
,,Speak Now,Better Than Revenge,She's better known for the things that she does,13,2010
,,Speak Now,Better Than Revenge,"On the mattress, whoa",14,2010
,,Speak Now,Better Than Revenge,Soon she's gonna find stealing other people's toys,15,2010
,,Speak Now,Better Than Revenge,On the playground won't make you many friends,16,2010
,,Speak Now,Better Than Revenge,"She should keep in mind, she should keep in mind",17,2010
,,Speak Now,Better Than Revenge,"There is nothing I do better than revenge, ha!",18,2010
,,Speak Now,Better Than Revenge,She looks at life like it's a party and she's on the list,19,2010
,,Speak Now,Better Than Revenge,She looks at me like I'm a trend and she's so over it,20,2010
,,Speak Now,Better Than Revenge,I think her ever-present frown is a little troubling,21,2010
,,Speak Now,Better Than Revenge,And she thinks I'm psycho 'cause I like to rhyme her name with things,22,2010
,,Speak Now,Better Than Revenge,But sophistication isn't what you wear or who you know,23,2010
,,Speak Now,Better Than Revenge,Or pushing people down to get you where you wanna go,24,2010
,,Speak Now,Better Than Revenge,"Oh, they didn't teach you that in prep school, so it's up to me",25,2010
,,Speak Now,Better Than Revenge,But no amount of vintage dresses gives you dignity,26,2010
,,Speak Now,Better Than Revenge,She's not a saint and she's not what you think,27,2010
,,Speak Now,Better Than Revenge,"She's an actress, whoa",28,2010
,,Speak Now,Better Than Revenge,She's better known for the things that she does,29,2010
,,Speak Now,Better Than Revenge,"On the mattress, whoa",30,2010
,,Speak Now,Better Than Revenge,Soon she's gonna find stealing other people's toys,31,2010
,,Speak Now,Better Than Revenge,On the playground won't make you many friends,32,2010
,,Speak Now,Better Than Revenge,"She should keep in mind, she should keep in mind",33,2010
,,Speak Now,Better Than Revenge,"There is nothing I do better than revenge, HA!",34,2010
,,Speak Now,Better Than Revenge,"I'm just another thing for you to roll your eyes at, honey",35,2010
,,Speak Now,Better Than Revenge,"You might have him, but haven't you heard?",36,2010
,,Speak Now,Better Than Revenge,"I'm just another thing for you to roll your eyes at, honey",37,2010
,,Speak Now,Better Than Revenge,"You might have him, but I always get the last word",38,2010
,,Speak Now,Better Than Revenge,"Whoa, whoa-ah-oh",39,2010
,,Speak Now,Better Than Revenge,She's not a saint and she's not what you think,40,2010
,,Speak Now,Better Than Revenge,"She's an actress, whoa",41,2010
,,Speak Now,Better Than Revenge,She's better known for the things that she does,42,2010
,,Speak Now,Better Than Revenge,"On the mattress, whoa",43,2010
,,Speak Now,Better Than Revenge,Soon she's gonna find stealing other people's toys,44,2010
,,Speak Now,Better Than Revenge,On the playground won't make you many friends,45,2010
,,Speak Now,Better Than Revenge,"She should keep in mind, she should keep in mind",46,2010
,,Speak Now,Better Than Revenge,"There is nothing I do better than revenge, HA!",47,2010
,,Speak Now,Better Than Revenge,Do you still feel like you know what you're doing?,48,2010
,,Speak Now,Better Than Revenge,"'Cause I don't think you do, oh",49,2010
,,Speak Now,Better Than Revenge,Do you still feel like you know what you're doing?,50,2010
,,Speak Now,Better Than Revenge,"I don't think you do, I don't think you do",51,2010
,,Speak Now,Better Than Revenge,Let's hear the applause,52,2010
,,Speak Now,Better Than Revenge,"Come on, show me how much better you are (so much better, yeah?)",53,2010
,,Speak Now,Better Than Revenge,See you deserve some applause,54,2010
,,Speak Now,Better Than Revenge,'Cause you're so much better,55,2010
,,Speak Now,Better Than Revenge,She took him faster than you could say sabotage,56,2010
,,Speak Now,Innocent,I guess you really did it this time,1,2010
,,Speak Now,Innocent,Left yourself in your warpath,2,2010
,,Speak Now,Innocent,Lost your balance on a tightrope,3,2010
,,Speak Now,Innocent,Lost your mind trying to get it back,4,2010
,,Speak Now,Innocent,Wasn't it easier in your lunchbox days?,5,2010
,,Speak Now,Innocent,Always a bigger bed to crawl into,6,2010
,,Speak Now,Innocent,Wasn't it beautiful when you believed in everything,7,2010
,,Speak Now,Innocent,And everybody believed in you?,8,2010
,,Speak Now,Innocent,"It's alright, just wait and see",9,2010
,,Speak Now,Innocent,Your string of lights is still bright to me,10,2010
,,Speak Now,Innocent,"Oh, who you are is not where you've been",11,2010
,,Speak Now,Innocent,You're still an innocent,12,2010
,,Speak Now,Innocent,You're still an innocent,13,2010
,,Speak Now,Innocent,Did some things you can't speak of,14,2010
,,Speak Now,Innocent,But at night you live it all again,15,2010
,,Speak Now,Innocent,You wouldn't be shattered on the floor now,16,2010
,,Speak Now,Innocent,If only you had seen what you know now then,17,2010
,,Speak Now,Innocent,Wasn't it easier in your firefly-catching days?,18,2010
,,Speak Now,Innocent,"When everything out of reach, someone bigger brought down to you",19,2010
,,Speak Now,Innocent,Wasn't it beautiful running wild 'til you fell asleep,20,2010
,,Speak Now,Innocent,Before the monsters caught up to you?,21,2010
,,Speak Now,Innocent,"It's alright, just wait and see",22,2010
,,Speak Now,Innocent,Your string of lights is still bright to me,23,2010
,,Speak Now,Innocent,Ohwho you are is not where you've been,24,2010
,,Speak Now,Innocent,You're still an innocent,25,2010
,,Speak Now,Innocent,"It's okay, life is a tough crowd",26,2010
,,Speak Now,Innocent,"32, and still growing up now",27,2010
,,Speak Now,Innocent,Who you are is not what you did,28,2010
,,Speak Now,Innocent,You're still an innocent,29,2010
,,Speak Now,Innocent,Time turns flames to embers,30,2010
,,Speak Now,Innocent,You'll have new Septembers,31,2010
,,Speak Now,Innocent,Every one of us has messed up too,32,2010
,,Speak Now,Innocent,Lives change like the weather,33,2010
,,Speak Now,Innocent,I hope you remember,34,2010
,,Speak Now,Innocent,Today is never too late to be brand new,35,2010
,,Speak Now,Innocent,"It's alright, just wait and see",36,2010
,,Speak Now,Innocent,Your string of lights is still bright to me,37,2010
,,Speak Now,Innocent,"Oh, who you are is not where you've been",38,2010
,,Speak Now,Innocent,You're still an innocent,39,2010
,,Speak Now,Innocent,"It's okay, life is a tough crowd",40,2010
,,Speak Now,Innocent,"32, and still growing up now",41,2010
,,Speak Now,Innocent,Who you are is not what you did,42,2010
,,Speak Now,Innocent,You're still an innocent,43,2010
,,Speak Now,Innocent,You're still an innocent,44,2010
,,Speak Now,Innocent,Lost your balance on a tightrope,45,2010
,,Speak Now,Innocent,It's never too late to get it back,46,2010
,,Speak Now,Haunted,You and I walk a fragile line,1,2010
,,Speak Now,Haunted,I have known it all this time,2,2010
,,Speak Now,Haunted,But I never thought I'd live to see it break,3,2010
,,Speak Now,Haunted,It's getting dark and it's all too quiet,4,2010
,,Speak Now,Haunted,And I can't trust anything now,5,2010
,,Speak Now,Haunted,And it's coming over you like it's all a big mistake,6,2010
,,Speak Now,Haunted,"Whoa, holding my breath",7,2010
,,Speak Now,Haunted,Won't lose you again,8,2010
,,Speak Now,Haunted,Something's made your eyes go cold,9,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",10,2010
,,Speak Now,Haunted,I thought I had you figured out,11,2010
,,Speak Now,Haunted,Something's gone terribly wrong,12,2010
,,Speak Now,Haunted,You're all I wanted,13,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",14,2010
,,Speak Now,Haunted,I thought I had you figured out,15,2010
,,Speak Now,Haunted,Can't breathe whenever you're gone,16,2010
,,Speak Now,Haunted,Can't turn back now I'm haunted,17,2010
,,Speak Now,Haunted,Stood there and watched you walk away,18,2010
,,Speak Now,Haunted,From everything we had,19,2010
,,Speak Now,Haunted,But I still mean every word I said to you,20,2010
,,Speak Now,Haunted,He will try to take away my pain,21,2010
,,Speak Now,Haunted,And he just might make me smile,22,2010
,,Speak Now,Haunted,But the whole time I'm wishing it was you instead,23,2010
,,Speak Now,Haunted,"Oh, holding my breath",24,2010
,,Speak Now,Haunted,Won't see you again,25,2010
,,Speak Now,Haunted,Something keeps me holding onto nothing,26,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",27,2010
,,Speak Now,Haunted,I thought I had you figured out,28,2010
,,Speak Now,Haunted,Something's gone terribly wrong,29,2010
,,Speak Now,Haunted,You're all I wanted,30,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",31,2010
,,Speak Now,Haunted,I thought I had you figured out,32,2010
,,Speak Now,Haunted,Can't breathe whenever you're gone,33,2010
,,Speak Now,Haunted,Can't turn back now I'm haunted,34,2010
,,Speak Now,Haunted,I know,35,2010
,,Speak Now,Haunted,I know,36,2010
,,Speak Now,Haunted,I just know,37,2010
,,Speak Now,Haunted,"You're not gone, you can't be gone, no",38,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",39,2010
,,Speak Now,Haunted,I thought I had you figured out,40,2010
,,Speak Now,Haunted,Something's gone terribly wrong,41,2010
,,Speak Now,Haunted,Won't finish what you started,42,2010
,,Speak Now,Haunted,"C'mon, c'mon, don't leave me like this",43,2010
,,Speak Now,Haunted,I thought I had you figured out,44,2010
,,Speak Now,Haunted,Can't breathe whenever you're gone,45,2010
,,Speak Now,Haunted,Can't turn back now I'm haunted,46,2010
,,Speak Now,Haunted,(Oh oh oh oh oh oh oh oh oh),47,2010
,,Speak Now,Haunted,You and I walk a fragile line,48,2010
,,Speak Now,Haunted,I have known it all this time,49,2010
,,Speak Now,Haunted,Never ever thought I'd see it break,50,2010
,,Speak Now,Haunted,Never thought I'd see it,51,2010
,,Speak Now,Last Kiss,I still remember the look on your face,1,2010
,,Speak Now,Last Kiss,Lit through the darkness at 1:58,2,2010
,,Speak Now,Last Kiss,The words that you whispered,3,2010
,,Speak Now,Last Kiss,For just us to know,4,2010
,,Speak Now,Last Kiss,You told me you loved me,5,2010
,,Speak Now,Last Kiss,So why did you go away?,6,2010
,,Speak Now,Last Kiss,Away,7,2010
,,Speak Now,Last Kiss,I do recall now the smell of the rain,8,2010
,,Speak Now,Last Kiss,Fresh on the pavement,9,2010
,,Speak Now,Last Kiss,I ran off the plane,10,2010
,,Speak Now,Last Kiss,That July 9th,11,2010
,,Speak Now,Last Kiss,The beat of your heart,12,2010
,,Speak Now,Last Kiss,It jumps through your shirt,13,2010
,,Speak Now,Last Kiss,I can still feel your arms,14,2010
,,Speak Now,Last Kiss,But now I'll go sit on the floor,15,2010
,,Speak Now,Last Kiss,Wearing your clothes,16,2010
,,Speak Now,Last Kiss,All that I know is,17,2010
,,Speak Now,Last Kiss,I don't know how to be something you miss,18,2010
,,Speak Now,Last Kiss,I never thought we'd have a last kiss,19,2010
,,Speak Now,Last Kiss,Never imagined we'd end like this,20,2010
,,Speak Now,Last Kiss,"Your name, forever the name on my lips",21,2010
,,Speak Now,Last Kiss,I do remember the swing of your step,22,2010
,,Speak Now,Last Kiss,"The life of the party, you're showing off again",23,2010
,,Speak Now,Last Kiss,And I roll my eyes and then,24,2010
,,Speak Now,Last Kiss,You pull me in,25,2010
,,Speak Now,Last Kiss,I'm not much for dancing,26,2010
,,Speak Now,Last Kiss,But for you I did,27,2010
,,Speak Now,Last Kiss,"Because I love your handshake, meeting my father",28,2010
,,Speak Now,Last Kiss,I love how you walk with your hands in your pockets,29,2010
,,Speak Now,Last Kiss,How you kissed me when I was in the middle of saying something,30,2010
,,Speak Now,Last Kiss,There's not a day I don't miss those rude interruptions,31,2010
,,Speak Now,Last Kiss,But now I'll go sit on the floor,32,2010
,,Speak Now,Last Kiss,Wearing your clothes,33,2010
,,Speak Now,Last Kiss,All that I know is,34,2010
,,Speak Now,Last Kiss,I don't know how to be something you miss,35,2010
,,Speak Now,Last Kiss,I never thought we'd have a last kiss,36,2010
,,Speak Now,Last Kiss,Never imagined we'd end like this,37,2010
,,Speak Now,Last Kiss,"Your name, forever the name on my lips",38,2010
,,Speak Now,Last Kiss,So I'll watch your life in pictures like I used to watch you sleep,39,2010
,,Speak Now,Last Kiss,And I feel you forget me like I used to feel you breathe,40,2010
,,Speak Now,Last Kiss,And I keep up with our old friends just to ask them how you are,41,2010
,,Speak Now,Last Kiss,Hope it's nice where you are,42,2010
,,Speak Now,Last Kiss,And I hope the sun shines,43,2010
,,Speak Now,Last Kiss,And it's a beautiful day,44,2010
,,Speak Now,Last Kiss,And something reminds you,45,2010
,,Speak Now,Last Kiss,You wish you had stayed,46,2010
,,Speak Now,Last Kiss,You can plan for a change in weather and time,47,2010
,,Speak Now,Last Kiss,But I never planned on you changing your mind,48,2010
,,Speak Now,Last Kiss,So I'll go sit on the floor,49,2010
,,Speak Now,Last Kiss,Wearing your clothes,50,2010
,,Speak Now,Last Kiss,All that I know is,51,2010
,,Speak Now,Last Kiss,I don't know how to be something you miss,52,2010
,,Speak Now,Last Kiss,I never thought we'd have a last kiss,53,2010
,,Speak Now,Last Kiss,Never imagined we'd end like this,54,2010
,,Speak Now,Last Kiss,"Your name, forever the name on my lips",55,2010
,,Speak Now,Last Kiss,Just like our last kiss,56,2010
,,Speak Now,Last Kiss,Forever the name on my lips,57,2010
,,Speak Now,Last Kiss,Forever the name on my lips,58,2010
,,Speak Now,Last Kiss,Just like our last,59,2010
,,Speak Now,Long Live,"I said remember this moment, in the back of my mind",1,2010
,,Speak Now,Long Live,The time we stood with our shaking hands,2,2010
,,Speak Now,Long Live,The crowds in the stands went wild,3,2010
,,Speak Now,Long Live,We were the Kings and the Queens,4,2010
,,Speak Now,Long Live,And they read off our names,5,2010
,,Speak Now,Long Live,The night you danced like you knew our lives,6,2010
,,Speak Now,Long Live,Would never be the same,7,2010
,,Speak Now,Long Live,You held your head like a hero,8,2010
,,Speak Now,Long Live,On a history book page,9,2010
,,Speak Now,Long Live,It was the end of a decade,10,2010
,,Speak Now,Long Live,But the start of an age,11,2010
,,Speak Now,Long Live,Long live the walls we crashed through,12,2010
,,Speak Now,Long Live,All the kingdom lights shined just for me and you,13,2010
,,Speak Now,Long Live,I was screaming long live all the magic we made,14,2010
,,Speak Now,Long Live,And bring on all the pretenders,15,2010
,,Speak Now,Long Live,"One day, we will be remembered",16,2010
,,Speak Now,Long Live,I said remember this feeling,17,2010
,,Speak Now,Long Live,I passed the pictures around,18,2010
,,Speak Now,Long Live,Of all the years that we stood there,19,2010
,,Speak Now,Long Live,On the side-lines wishing for right now,20,2010
,,Speak Now,Long Live,We are the Kings and the Queens,21,2010
,,Speak Now,Long Live,You traded your baseball cap for a crown,22,2010
,,Speak Now,Long Live,When they gave us our trophies,23,2010
,,Speak Now,Long Live,And we held them up for our town,24,2010
,,Speak Now,Long Live,And the cynics were outraged,25,2010
,,Speak Now,Long Live,"Screaming ""this is absurd""",26,2010
,,Speak Now,Long Live,Cause for a moment a band of thieves,27,2010
,,Speak Now,Long Live,In ripped up jeans got to rule the world,28,2010
,,Speak Now,Long Live,Long live the walls we crashed through,29,2010
,,Speak Now,Long Live,All the kingdom lights shined just for me and you,30,2010
,,Speak Now,Long Live,I was screaming long live all the magic we made,31,2010
,,Speak Now,Long Live,And bring on all the pretenders,32,2010
,,Speak Now,Long Live,I'm not afraid,33,2010
,,Speak Now,Long Live,Long live all the mountains we moved,34,2010
,,Speak Now,Long Live,I had the time of my life fighting dragons with you,35,2010
,,Speak Now,Long Live,I was screaming long live that look on your face,36,2010
,,Speak Now,Long Live,And bring on all the pretenders,37,2010
,,Speak Now,Long Live,"One day, we will be remembered",38,2010
,,Speak Now,Long Live,Hold on to spinning around,39,2010
,,Speak Now,Long Live,Confetti falls to the ground,40,2010
,,Speak Now,Long Live,May these memories break our fall,41,2010
,,Speak Now,Long Live,Will you take a moment?,42,2010
,,Speak Now,Long Live,Promise me this,43,2010
,,Speak Now,Long Live,That you'll stand by me forever,44,2010
,,Speak Now,Long Live,But if God forbid fate should step in,45,2010
,,Speak Now,Long Live,And force us into a goodbye,46,2010
,,Speak Now,Long Live,If you have children some day,47,2010
,,Speak Now,Long Live,When they point to the pictures,48,2010
,,Speak Now,Long Live,Please tell them my name,49,2010
,,Speak Now,Long Live,Tell them how the crowds went wild,50,2010
,,Speak Now,Long Live,Tell them how I hope they shine,51,2010
,,Speak Now,Long Live,Long live the walls we crashed through,52,2010
,,Speak Now,Long Live,"I had the time of my life, with you",53,2010
,,Speak Now,Long Live,"Long, long live the walls we crashed through",54,2010
,,Speak Now,Long Live,All the kingdom lights shined just for me and you,55,2010
,,Speak Now,Long Live,I was screaming long live all the magic we made,56,2010
,,Speak Now,Long Live,And bring on all the pretenders,57,2010
,,Speak Now,Long Live,I'm not afraid,58,2010
,,Speak Now,Long Live,"Singing, long live all the mountains we moved",59,2010
,,Speak Now,Long Live,I had the time of my life fighting dragons with you,60,2010
,,Speak Now,Long Live,"And long, long live that look on your face",61,2010
,,Speak Now,Long Live,And bring on all the pretenders,62,2010
,,Speak Now,Long Live,"One day, we will be remembered",63,2010
,,Speak Now,Ours,Elevator buttons and morning air,1,2010
,,Speak Now,Ours,Strangers' silence makes me want to take the stairs,2,2010
,,Speak Now,Ours,If you were here we'd laugh about their vacant stares,3,2010
,,Speak Now,Ours,But right now my time is theirs,4,2010
,,Speak Now,Ours,Seems like there's always someone who disapproves,5,2010
,,Speak Now,Ours,They'll judge it like they know about me and you,6,2010
,,Speak Now,Ours,And the verdict comes from those with nothing else to do,7,2010
,,Speak Now,Ours,"The jury's out, but my choice is you",8,2010
,,Speak Now,Ours,So don't you worry your pretty little mind,9,2010
,,Speak Now,Ours,People throw rocks at things that shine,10,2010
,,Speak Now,Ours,And life makes love look hard,11,2010
,,Speak Now,Ours,"The stakes are high, the water's rough",12,2010
,,Speak Now,Ours,But this love is ours,13,2010
,,Speak Now,Ours,You never know what people have up their sleeves,14,2010
,,Speak Now,Ours,Ghosts from your past gonna jump out at me,15,2010
,,Speak Now,Ours,Lurking in the shadows with their lip gloss smiles,16,2010
,,Speak Now,Ours,But I don't care 'cause right now you're mine,17,2010
,,Speak Now,Ours,And you'll say,18,2010
,,Speak Now,Ours,Don't you worry your pretty little mind,19,2010
,,Speak Now,Ours,People throw rocks at things that shine,20,2010
,,Speak Now,Ours,And life makes love look hard,21,2010
,,Speak Now,Ours,"The stakes are high, the water's rough",22,2010
,,Speak Now,Ours,But this love is ours,23,2010
,,Speak Now,Ours,And it's not theirs to speculate if it's wrong,24,2010
,,Speak Now,Ours,"And your hands are tough, but they are where mine belong",25,2010
,,Speak Now,Ours,And I'll fight their doubt and give you faith,26,2010
,,Speak Now,Ours,With this song for you,27,2010
,,Speak Now,Ours,'Cause I love the gap between your teeth,28,2010
,,Speak Now,Ours,And I love the riddles that you speak,29,2010
